px,py,vx,vy,px_measured,py_measured,gt_px,gt_py,gt_vx,gt_vy
0.312243,0.58034,0,0,0.312243,0.58034,0.6,0.6,5.19994,0
0.744509,0.6452,7.59552,-4.86487e-16,0.862916,0.534212,0.859997,0.600045,5.19975,0.00179686
1.15364,0.503461,7.42919,-1.6339,1.17385,0.481073,1.11998,0.600225,5.19943,0.00538996
1.25295,0.54539,7.53707,0.0561663,0.969149,0.397513,1.37996,0.600629,5.19898,0.0107781
1.62702,0.57988,7.51327,0.574959,1.65063,0.62469,1.6399,0.601347,5.19839,0.0179597
1.85696,0.568493,5.74523,0.114456,1.62331,0.499091,1.89982,0.60247,5.19766,0.0269323
2.15769,0.593937,5.74432,0.203328,2.18882,0.648739,2.1597,0.604086,5.19678,0.0376932
2.3717,0.646504,5.20275,0.497431,1.96701,0.557117,2.41954,0.606284,5.19573,0.0502389
2.63578,0.669471,5.21693,0.498286,2.65526,0.66598,2.67932,0.609155,5.1945,0.0645654
2.90448,0.662592,5.31786,0.275371,2.92034,0.645898,2.93904,0.612786,5.19309,0.080668
3.13317,0.665755,5.24849,0.230986,3.01222,0.637046,3.19869,0.617267,5.19147,0.0985415
3.4252,0.555722,5.35338,-0.692899,3.56096,0.485311,3.45825,0.622685,5.18963,0.11818
3.73394,0.439695,5.35448,-1.45878,3.89365,0.311793,3.71772,0.62913,5.18754,0.139576
4.01237,0.521967,5.53384,-0.688564,4.19786,0.698311,3.97708,0.636689,5.18519,0.162724
4.28845,0.519006,5.50194,-0.601315,4.30935,0.578564,4.23632,0.645449,5.18256,0.187614
4.54386,0.572275,5.24623,-0.225033,4.61908,0.68951,4.49542,0.655498,5.17962,0.214238
4.70824,0.700914,4.8827,0.439412,4.35143,0.899174,4.75437,0.666921,5.17634,0.242587
4.96475,0.692309,4.87403,0.345751,5.20901,0.66599,5.01315,0.679804,5.1727,0.272649
5.26713,0.680494,5.03558,0.23304,5.51894,0.648233,5.27175,0.694234,5.16867,0.304413
5.52497,0.687207,5.37784,0.246836,5.22834,0.639362,5.53013,0.710295,5.16422,0.337868
5.83482,0.697841,5.49066,0.241519,6.022,0.708619,5.78828,0.728072,5.15932,0.372999
6.0784,0.610789,5.02769,-0.200501,5.89392,0.373584,6.04618,0.747647,5.15393,0.409793
6.32379,0.741984,4.9952,0.380886,6.34249,0.948833,6.30379,0.769103,5.14803,0.448233
6.57421,0.779985,5.01017,0.495202,6.62134,0.836138,6.5611,0.792523,5.14157,0.488305
6.81743,0.768318,5.00098,0.375952,6.78214,0.714036,6.81808,0.817988,5.13452,0.52999
7.06341,0.744739,4.74846,0.200598,7.29121,0.630741,7.07469,0.845578,5.12685,0.573269
7.2646,0.844436,4.63635,0.575891,7.13735,0.957217,7.3309,0.875373,5.11851,0.618123
7.56529,0.855097,5.35833,0.585939,8.08349,0.819605,7.58668,0.907449,5.10946,0.664531
7.83045,0.811908,5.35981,0.278123,7.80533,0.719126,7.84199,0.941886,5.09966,0.712469
8.08225,0.827684,4.89624,0.255665,8.40453,0.884557,8.0968,0.978759,5.08907,0.761915
8.31079,0.842348,4.85782,0.265666,8.24796,0.840322,8.35106,1.01814,5.07766,0.812843
8.57776,0.966551,5.4157,0.821721,8.45858,1.41118,8.60472,1.06011,5.06537,0.865226
8.82599,1.03102,5.33874,0.983181,8.74615,1.04858,8.85775,1.10473,5.05216,0.919037
9.12145,1.08057,5.25713,1.02121,9.8809,1.1419,9.1101,1.15208,5.03798,0.974245
9.36139,1.09711,5.19875,0.931474,9.25579,1.04913,9.36172,1.20223,5.0228,1.03082
9.64161,1.19872,5.24836,1.22104,10.1016,1.52474,9.61255,1.25524,5.00656,1.08873
9.92107,1.3457,5.23431,1.66546,10.0484,1.44598,9.86254,1.31118,4.98922,1.14794
10.1656,1.47115,4.73888,1.83925,10.5377,1.72555,10.1117,1.37011,4.97074,1.20841
10.3758,1.52055,4.64869,1.774,10.2492,1.45907,10.3598,1.4321,4.95106,1.2701
10.6072,1.6185,4.42796,1.84995,10.9084,1.70343,10.6069,1.49721,4.93014,1.33298
10.82,1.59189,4.39128,1.47365,10.7313,1.45265,10.853,1.56549,4.90794,1.39701
11.0921,1.64203,4.92197,1.52939,11.4783,1.42876,11.0979,1.637,4.8844,1.46213
11.3879,1.65613,5.05699,1.2844,11.587,1.61462,11.3416,1.71179,4.85948,1.52832
11.6194,1.6965,4.82838,1.1611,11.4763,1.53917,11.584,1.78992,4.83313,1.59551
11.8438,1.75418,4.78752,1.16873,11.7788,1.74591,11.8251,1.87144,4.80531,1.66366
12.1006,1.85406,5.09816,1.41569,12.136,2.14937,12.0647,1.95639,4.77598,1.73273
12.3547,1.85492,5.11659,1.1328,12.3226,1.78353,12.3029,2.04482,4.74508,1.80265
12.6132,1.89868,5.22957,1.08699,12.5457,1.77728,12.5394,2.13677,4.71257,1.87338
12.8069,2.08283,4.99811,1.64086,12.5924,2.17509,12.7743,2.23227,4.67842,1.94485
13.0735,2.2145,5.1926,1.95476,13.2198,2.6644,13.0075,2.33137,4.64258,2.01701
13.2776,2.3771,4.97962,2.29545,13.0875,2.40708,13.2388,2.43409,4.605,2.08981
13.4415,2.56682,4.24063,2.51528,12.7087,3.12439,13.4682,2.54047,4.56565,2.16317
13.6901,2.64668,4.30319,2.4504,13.836,2.62479,13.6955,2.65053,4.52448,2.23703
13.9079,2.77039,4.38619,2.60328,13.8302,2.73893,13.9208,2.7643,4.48147,2.31134
14.1374,2.91684,4.35532,2.76216,14.2106,2.94205,14.1439,2.88179,4.43656,2.38601
14.3871,3.04393,4.69523,2.93823,14.5568,2.87021,14.3646,3.00303,4.38974,2.46099
14.6083,3.05592,4.65916,2.43291,14.4616,2.90734,14.583,3.12802,4.34097,2.5362
14.8324,3.24605,4.6799,2.81197,14.6754,3.96041,14.7989,3.25679,4.29021,2.61157
15.0455,3.45283,4.53992,3.15739,15.0261,3.5067,15.0122,3.38932,4.23744,2.68703
15.2496,3.6519,4.137,3.28534,15.3685,4.14761,15.2228,3.52563,4.18263,2.76249
15.4651,3.81779,4.08788,3.38744,15.5236,3.82936,15.4306,3.66572,4.12575,2.83789
15.677,3.94764,4.11569,3.3419,15.7234,3.4105,15.6355,3.80957,4.06678,2.91315
15.9085,4.04767,4.15294,3.13348,15.9774,4.00094,15.8375,3.95719,4.00571,2.98817
16.1082,4.19793,3.88225,3.03763,16.3376,4.21632,16.0363,4.10854,3.94251,3.0629
16.2967,4.39639,3.80384,3.28021,16.3313,4.44499,16.2319,4.26363,3.87716,3.13723
