px,py,vx,vy,px_measured,py_measured,gt_px,gt_py,gt_vx,gt_vy
8.46292,0.243462,3.04035,0,8.46292,0.243462,8.6,0.25,-3.00029,0
8.45274,0.25121,3.03018,0.00401549,8.44818,0.251553,8.45,0.25,-3.00027,0
8.47419,0.246396,2.52077,-0.0844279,8.56759,0.241943,8.45,0.25,0,0
8.50411,0.25033,2.43858,-0.0267871,8.45582,0.253997,8.45,0.25,0,0
8.36129,0.234266,0.140895,-0.0173438,8.42544,0.254042,8.35,0.25,-1.81979,0
8.32338,0.2419,0.0522671,-0.00474101,8.23962,0.24916,8.25,0.25,-1.81978,0
8.007,0.265033,-2.81376,0.112662,7.93286,0.188391,8.05,0.2,-3.99976,-0.99994
7.87686,0.244973,-2.82948,-0.0143638,7.84073,0.159858,7.85,0.15,-3.99972,-0.99993
7.70491,0.222854,-2.92929,-0.338052,7.61269,0.155818,7.7,0.15,-2.99982,0
7.57404,0.181839,-2.89972,-0.6153,7.54016,0.159641,7.55,0.15,-2.99982,0
7.47615,0.0715679,-2.50696,-1.25301,7.50815,0.0953827,7.45,0.100001,-1.8165,-0.908239
7.34533,0.0215486,-2.51201,-1.22945,7.3426,0.0345312,7.35,0.0500011,-1.81648,-0.90823
7.18239,0.0201639,-2.71618,-0.911947,7.20598,0.00492725,7.2,9.49949e-07,-2.72851,-0.909507
7.04053,-0.0407385,-2.69824,-0.976708,7.05406,-0.0533413,7.05,-0.0499992,-2.72849,-0.909499
6.94585,-0.157574,-2.28264,-1.38509,6.74585,-0.143185,6.95,-0.15,-1.81898,-1.81898
6.82998,-0.24549,-2.20391,-1.51341,6.84972,-0.258748,6.85,-0.25,-1.81896,-1.81897
6.71983,-0.325748,-2.15429,-1.60273,6.66966,-0.346668,6.75,-0.349999,-2.00076,-2.00075
6.62086,-0.425861,-2.0662,-1.74109,6.64329,-0.462604,6.65,-0.449999,-2.00076,-2.00075
6.57761,-0.593202,-1.44175,-2.26271,6.60862,-0.557035,6.6,-0.549999,-0.998836,-1.99769
6.5193,-0.69239,-1.27204,-2.325,6.56029,-0.650892,6.55,-0.65,-0.99884,-1.99769
6.47446,-0.853323,-0.859042,-2.55108,6.40696,-0.842921,6.5,-0.85,-0.908747,-3.63498
6.43856,-1.00874,-0.58998,-2.64702,6.45805,-1.05268,6.45,-1.05,-0.908739,-3.63494
6.32902,-1.07562,-0.966878,-2.3381,6.38626,-1.15695,6.35,-1.15,-1.81897,-1.81898
6.27502,-1.21544,-0.823601,-2.41605,6.25499,-1.25007,6.25,-1.25,-1.81896,-1.81896
6.36158,-1.42534,0.0843202,-2.66425,6.43125,-1.48148,6.3,-1.45,0.909739,-3.63894
6.36961,-1.58978,0.342704,-2.68381,6.36328,-1.65656,6.35,-1.65,0.909727,-3.63891
6.30986,-1.65918,0.0782855,-2.40694,6.3228,-1.81431,6.3,-1.8,-0.999494,-2.9985
6.29986,-1.81653,0.219719,-2.47842,6.24641,-1.95075,6.25,-1.95,-0.999489,-2.99847
6.34403,-1.98466,0.571489,-2.58514,6.31851,-2.10969,6.3,-2.1,0.999984,-2.99994
6.36722,-2.13956,0.747942,-2.59746,6.34644,-2.23829,6.35,-2.25,0.999979,-2.99994
6.35993,-2.25913,0.704499,-2.42504,6.32593,-2.40018,6.35,-2.4,0,-2.72613
6.38655,-2.42743,0.854957,-2.4502,6.34927,-2.55175,6.35,-2.55,0,-2.72611
6.43404,-2.58122,1.03305,-2.43466,6.43125,-2.71878,6.4,-2.7,0.909499,-2.72851
6.47737,-2.74412,1.1763,-2.42883,6.43257,-2.84245,6.45,-2.85,0.909503,-2.72851
6.49644,-2.84993,1.14808,-2.25263,6.46536,-3.00452,6.45,-3,0,-2.99754
6.52656,-3.00709,1.23628,-2.28487,6.44119,-3.14955,6.45,-3.15,0,-2.99754
6.58691,-3.15379,1.36746,-2.25488,6.52249,-3.32007,6.5,-3.3,0.910402,-2.7312
6.63408,-3.32114,1.45896,-2.26818,6.5453,-3.45745,6.55,-3.45,0.910402,-2.7312
6.71932,-3.474,1.64381,-2.2732,6.6358,-3.59197,6.65,-3.6,1.81722,-2.72583
6.79535,-3.63451,1.75327,-2.25073,6.76011,-3.75457,6.75,-3.75,1.81721,-2.72581
6.86681,-3.75269,1.76774,-2.08388,6.83625,-3.92723,6.8,-3.9,0.907988,-2.72396
6.93689,-3.91377,1.84434,-2.08005,6.85997,-4.05805,6.85,-4.05,0.907976,-2.72393
7.00844,-4.02541,1.84112,-1.92371,6.86943,-4.18507,6.9,-4.2,0.909334,-2.72801
7.06931,-4.18524,1.8859,-1.9332,6.94332,-4.34473,6.95,-4.35,0.90933,-2.72799
7.12453,-4.26774,1.7546,-1.67336,7.05156,-4.49706,7,-4.45,0.910054,-1.8201
7.17977,-4.40792,1.78582,-1.67142,7.04099,-4.55018,7.05,-4.55,0.910054,-1.8201
7.25835,-4.508,1.80893,-1.57498,7.10252,-4.67934,7.1,-4.7,0.908302,-2.72489
7.30919,-4.65904,1.82182,-1.59812,7.14735,-4.86125,7.15,-4.85,0.908297,-2.72489
7.42598,-4.79454,2.03064,-1.67368,7.3138,-5.05204,7.25,-5,1.81907,-2.72861
7.48487,-4.95104,2.02705,-1.69935,7.30424,-5.15404,7.35,-5.15,1.81907,-2.72861
7.56944,-5.05297,2.02315,-1.6037,7.29446,-5.23429,7.4,-5.3,0.908194,-2.7246
7.62598,-5.21566,2.00886,-1.64654,7.44737,-5.45308,7.45,-5.45,0.90819,-2.72457
7.72532,-5.32392,2.04707,-1.58926,7.63082,-5.61863,7.55,-5.55,1.81974,-1.81974
7.79227,-5.47214,2.03963,-1.61256,7.64356,-5.66706,7.65,-5.65,1.81972,-1.81972
7.87898,-5.56778,2.02723,-1.52668,7.60376,-5.74774,7.7,-5.8,0.90983,-2.72951
7.93103,-5.72488,1.99289,-1.57261,7.7342,-5.95374,7.75,-5.95,0.909826,-2.72948
8.06272,-5.85698,2.26226,-1.72634,7.82165,-6.06822,7.85,-6.1,1.9986,-2.9979
8.12405,-6.0141,2.2239,-1.78387,7.95703,-6.24328,7.95,-6.25,1.99858,-2.99787
8.22727,-6.11919,2.19421,-1.68863,8.17338,-6.44684,8.05,-6.35,1.81738,-1.81739
8.30263,-6.27078,2.1689,-1.72239,8.15891,-6.45335,8.15,-6.45,1.81737,-1.81737
8.39379,-6.36696,2.13069,-1.63349,8.08628,-6.51855,8.2,-6.6,0.909293,-2.72787
8.44951,-6.53005,2.07585,-1.69353,8.25411,-6.74791,8.25,-6.75,0.909293,-2.72787
8.54966,-6.6341,2.10209,-1.66396,8.25648,-6.78122,8.35,-6.85,1.81994,-1.81993
8.61286,-6.78473,2.05777,-1.70669,8.44494,-6.95805,8.45,-6.95,1.81993,-1.81993
8.69565,-6.8755,2.04534,-1.66,8.39359,-7.01743,8.5,-7.1,1.00006,-3.00018
8.73875,-7.02927,1.98246,-1.72811,8.54925,-7.24433,8.55,-7.25,1.00006,-3.00018
8.8633,-7.15601,2.17593,-1.862,8.64403,-7.39047,8.65,-7.4,1.99807,-2.99712
8.9152,-7.32056,2.10596,-1.94192,8.73559,-7.5421,8.75,-7.55,1.99808,-2.99712
8.9887,-7.41482,1.94932,-1.77708,8.87176,-7.71912,8.8,-7.65,0.909955,-1.8199
9.03693,-7.57501,1.88165,-1.83896,8.84538,-7.75497,8.85,-7.75,0.909946,-1.81988
9.1276,-7.68339,1.92573,-1.86482,8.88333,-7.88636,8.9,-7.9,0.999086,-2.9973
9.16223,-7.84304,1.84489,-1.94082,8.95966,-8.0381,8.95,-8.05,0.999095,-2.9973
9.2127,-7.9274,1.67795,-1.76759,8.8564,-8.01424,9,-8.15,0.909309,-1.8186
9.24816,-8.08126,1.6093,-1.82625,9.05896,-8.24314,9.05,-8.25,0.909301,-1.81859
9.3382,-8.19829,1.68986,-1.90993,9.17781,-8.47056,9.1,-8.4,1.0004,-3.00119
9.3609,-8.35777,1.60292,-1.9882,9.15332,-8.54857,9.15,-8.55,1.00038,-3.00117
